College Name,NIRF Ranking
"Rajalakshmi Engineering College, Chennai",101-150
"TCE Madurai - Thiagarajar College of Engineering, Madurai",101-150
"University College of Engineering, Osmania University, Hyderabad",101-150
"VJTI Mumbai - Veermata Jijabai Technological Institute, Mumbai",101-150
"CIT Chennai - Chennai Institute of Technology, Chennai",101-150
"MIT-WPU Pune - Dr Vishwanath Karad MIT World Peace University, Pune",101-150
"Galgotias University - Galgotias University, Greater Noida",101-150
"GRIET Hyderabad - Gokaraju Rangaraju Institute of Engineering and Technology, Hyderabad",101-150
IIT Dharwad - Indian Institute of Technology Dharwad,101-150
"Karunya University - Karunya Institute of Technology and Sciences, Coimbatore",101-150
"KEC Erode - Kongu Engineering College, Erode",101-150
"KPRIET Coimbatore - KPR Institute of Engineering and Technology, Coimbatore",101-150
"MAKAUT Kolkata - Maulana Abul Kalam Azad University of Technology, Kolkata",101-150
"Mepco Schlenk Engineering College, Sivakasi",101-150
"NIFTEM-T - National Institute of Food Technology, Entrepreneurship and Management, Thanjavur",101-150
NIT Arunachal Pradesh - National Institute of Technology Arunachal Pradesh,101-150
NIT Hamirpur (NITH) - National Institute of Technology Hamirpur,101-150
NIT Manipur (NITMN) - National Institute of Technology Manipur,101-150
NIT Mizoram - National Institute of Technology Mizoram,101-150
NIT Uttarakhand (NIT UK) - National Institute of Technology Uttarakhand,101-150
"NMIT Bangalore - Nitte Meenakshi Institute of Technology, Bangalore",101-150
"NIET Greater Noida - Noida Institute of Engineering and Technology, Greater Noida",101-150
"PSGITECH Coimbatore - PSG Institute of Technology and Applied Research, Coimbatore",101-150
"Sharda University - Sharda University, Greater Noida",101-150
"Sri Sai Ram Engineering College, Chennai",101-150
"NCU - The NorthCap University, Gurgaon",101-150
"Vels University Chennai - Vel's Institute of Science Technology and Advanced Studies, Chennai",101-150
"Amity University Gurgaon - Amity University, Gurugram",101-150
"Amity University, Jaipur",101-150
"CEC Landran - Chandigarh Engineering College, Landran Campus, Mohali",101-150
"Mahindra University, Hyderabad",101-150
"Amity University, Kolkata",101-150
"JNTUK Kakinada - Jawaharlal Nehru Technological University, Kakinada",101-150
"MRIIRS Faridabad - Manav Rachna International Institute of Research and Studies, Faridabad",101-150
"Nirma University - Nirma University, Ahmedabad",101-150
"Panjab University (PUCHD) - Panjab University, Chandigarh",101-150
"BMSCE Bangalore - BMS College of Engineering, Bangalore",151-200
"BSAU Chennai (Crescent) - BS Abdur Rahman Crescent Institute of Science and Technology, Chennai",151-200
"IIIT Guwahati - Indian Institute of Information Technology, Guwahati",151-200
"IGDTUW Delhi - Indira Gandhi Delhi Technical University for Women, Delhi",151-200
"IEM Kolkata - Institute of Engineering and Management, Kolkata",151-200
"YMCA Faridabad - JC Bose University of Science and Technology, YMCA, Faridabad",151-200
